q1,q2,q3,q4,q5
5,4,6,7,7
6,6,5,6,7
4,6,7,7,7
6,7,7,7,6
6,7,7,7,6
7,6,6,6,7
7,7,6,7,7
6,7,6,7,6
7,6,7,5,5
6,6,6,5,5
6,7,7,7,6
5,6,6,7,6
6,7,7,5,7
7,7,7,7,7
7,6,7,7,7
7,6,7,7,7
6,7,6,7,7
6,5,6,7,6
5,6,6,5,6
6,7,7,7,4
6,6,5,6,6
5,6,6,6,7
6,6,5,4,6
6,5,4,2,4
6,7,6,7,7
6,6,7,7,7
6,6,7,6,7
6,7,6,5,6
6,5,4,5,7
6,6,4,6,4
