Date,Open,High,Low,Close,Volume,transactions
2015-02-17 05:00:00,102.51,103.33,101.97,102.97,493693.0,3408
2015-02-18 05:00:00,103.59,104.0697,103.26,103.71,311899.0,2667
2015-02-19 05:00:00,103.81,105.17,103.71,104.6,275945.0,2934
2015-02-20 05:00:00,102.6,105.06,102.6,104.85,582493.0,5751
2015-02-23 05:00:00,105.63,105.71,105.01,105.12,452197.0,4290
2015-02-24 05:00:00,108.53,110.85,107.88,110.75,2153846.0,12668
2015-02-25 05:00:00,109.69,109.94,108.42,108.97,1152258.0,6887
2015-02-26 05:00:00,107.6,108.67,107.51,107.91,608331.0,4182
2015-02-27 05:00:00,107.53,108.43,106.75,107.68,686834.0,4727
2015-03-02 05:00:00,109.26,110.27,108.99,109.93,600474.0,6008
2015-03-03 05:00:00,109.88,109.96,108.06,108.49,651334.0,6851
2015-03-04 05:00:00,108.23,108.87,107.32,108.51,537367.0,5443
2015-03-05 05:00:00,109.21,109.8,108.72,109.35,402452.0,3609
2015-03-06 05:00:00,108.26,108.38,106.68,107.32,652501.0,4575
2015-03-09 04:00:00,107.45,108.1936,107.07,107.93,505955.0,4992
2015-03-10 04:00:00,106.99,107.2,105.96,106.15,625971.0,6576
2015-03-11 04:00:00,106.72,107.98,106.31,106.68,551050.0,4553
2015-03-12 04:00:00,106.62,106.66,104.22,104.8,1529761.0,11051
2015-03-13 04:00:00,105.1,105.74,104.68,105.48,1429066.0,9054
2015-03-16 04:00:00,106.86,108.0,106.56,107.81,420148.0,4173
2015-03-17 04:00:00,106.62,107.25,106.3,106.77,695433.0,5150
2015-03-18 04:00:00,105.98,107.35,104.4,106.82,1703276.0,10119
2015-03-19 04:00:00,106.46,107.47,106.32,107.14,641241.0,5812
2015-03-20 04:00:00,109.38,110.68,108.72,110.16,747824.0,6068
2015-03-23 04:00:00,110.35,111.2,109.93,110.72,562634.0,5229
2015-03-24 04:00:00,111.22,111.4,110.21,110.39,628649.0,5316
2015-03-25 04:00:00,109.7,109.74,104.45,104.63,1733151.0,13346
2015-03-26 04:00:00,101.01,101.01,98.42,99.08,4330289.0,21369
2015-03-27 04:00:00,99.99,102.116,99.95,101.86,1260232.0,10709
2015-03-30 04:00:00,101.57,103.43,101.57,103.12,990519.0,7379
2015-03-31 04:00:00,101.47,102.22,100.97,101.03,1224098.0,7546
2015-04-01 04:00:00,101.12,101.12,99.55,100.335,641556.0,6091
2015-04-02 04:00:00,101.61,102.01,100.48,100.74,498668.0,4711
2015-04-06 04:00:00,100.92,101.2,100.0,100.23,916355.0,8047
2015-04-07 04:00:00,100.93,101.86,100.12,100.17,1161822.0,9181
2015-04-08 04:00:00,99.8,100.18,99.2,99.97,630447.0,5650
2015-04-09 04:00:00,100.31,100.86,99.49,100.74,1609694.0,7418
2015-04-10 04:00:00,99.73,100.58,99.59,100.02,846319.0,7670
2015-04-13 04:00:00,100.39,100.99,99.593,99.81,1037656.0,6989
2015-04-14 04:00:00,100.86,100.97,99.57,99.97,1137341.0,8956
2015-04-15 04:00:00,100.06,100.08,95.89,96.14,4129081.0,28596
2015-04-16 04:00:00,94.83,96.13,94.16,95.12,2293574.0,15896
2015-04-17 04:00:00,94.75,95.11,93.95,94.5,1671176.0,12131
2015-04-20 04:00:00,94.99,96.24,94.94,96.08,1129142.0,8318
2015-04-21 04:00:00,98.17,98.74,97.09,97.75,2396691.0,15139
2015-04-22 04:00:00,109.82,111.2,106.38,107.81,4850359.0,32669
2015-04-23 04:00:00,108.84,108.9599,107.46,108.69,1357034.0,10874
2015-04-24 04:00:00,108.06,108.2,106.6,107.16,1749202.0,9478
2015-04-27 04:00:00,109.57,110.91,109.25,109.71,4076020.0,17716
2015-04-28 04:00:00,109.75,110.04,108.87,109.79,1076244.0,8964
2015-04-29 04:00:00,108.79,109.19,107.0901,107.64,2160655.0,13399
2015-04-30 04:00:00,108.02,108.68,106.44,107.04,1989516.0,8533
2015-05-01 04:00:00,107.5,108.545,107.41,108.37,637363.0,5828
2015-05-04 04:00:00,109.47,109.47,107.76,107.89,677230.0,6781
2015-05-05 04:00:00,107.33,107.33,105.02,105.44,1636961.0,8628
2015-05-06 04:00:00,107.19,107.33,105.56,105.8,1306140.0,8541
2015-05-07 04:00:00,105.73,106.57,105.31,106.22,1105004.0,6534
2015-05-08 04:00:00,107.27,108.31,107.14,107.74,952521.0,8713
2015-05-11 04:00:00,107.52,108.88,107.47,108.62,459860.0,5496
2015-05-12 04:00:00,108.35,108.93,107.87,108.63,483569.0,4264
2015-05-13 04:00:00,108.89,109.31,107.9,108.58,468877.0,5070
2015-05-14 04:00:00,109.9,111.06,109.4,110.58,729144.0,7082
2015-05-15 04:00:00,111.09,111.49,110.595,111.05,795118.0,6400
2015-05-18 04:00:00,109.96,111.25,109.61,111.02,554830.0,5595
2015-05-19 04:00:00,110.97,111.74,110.58,111.22,477268.0,4291
2015-05-20 04:00:00,111.45,112.28,111.15,111.64,532303.0,2980
2015-05-21 04:00:00,111.33,111.82,111.05,111.53,366517.0,4321
2015-05-22 04:00:00,110.99,111.37,110.45,110.98,253262.0,2995
2015-05-26 04:00:00,110.38,110.52,108.4,108.97,541427.0,5972
2015-05-27 04:00:00,109.61,112.91,109.52,112.53,588512.0,6110
2015-05-28 04:00:00,113.69,114.135,112.5,113.8,588087.0,6588
2015-05-29 04:00:00,113.27,113.88,111.5,112.3,542610.0,5706
2015-06-01 04:00:00,112.19,112.35,110.41,111.63,856185.0,7146
2015-06-02 04:00:00,111.37,111.41,110.05,110.05,735829.0,6446
2015-06-03 04:00:00,112.25,112.92,111.44,111.72,1029418.0,7412
2015-06-04 04:00:00,112.07,113.68,110.37,110.59,1372218.0,9835
2015-06-05 04:00:00,109.6,110.01,108.75,109.1,997498.0,6684
2015-06-08 04:00:00,108.17,108.6,107.13,107.8,803123.0,8522
2015-06-09 04:00:00,108.52,108.68,107.25,108.25,844055.0,7514
2015-06-10 04:00:00,108.93,110.07,108.35,108.99,497377.0,5944
2015-06-11 04:00:00,111.0,111.8,109.47,110.0,872734.0,7523
2015-06-12 04:00:00,107.65,108.64,106.96,107.91,584425.0,5724
2015-06-15 04:00:00,106.48,108.54,106.19,108.38,841837.0,8321
2015-06-16 04:00:00,108.28,109.55,107.73,109.21,538637.0,4784
2015-06-17 04:00:00,107.97,108.428,107.26,107.82,557607.0,5516
2015-06-18 04:00:00,107.15,110.26,107.1,108.93,1387500.0,8140
2015-06-19 04:00:00,108.96,109.15,108.37,108.81,479863.0,3768
2015-06-22 04:00:00,111.97,113.0,111.3,111.91,708983.0,7716
2015-06-23 04:00:00,111.94,112.13,110.97,111.01,479771.0,4418
2015-06-24 04:00:00,110.55,111.0,109.79,109.97,404895.0,3636
2015-06-25 04:00:00,110.84,111.09,109.9,110.26,395622.0,4247
2015-06-26 04:00:00,110.65,111.14,108.19,108.78,870252.0,10202
2015-06-29 04:00:00,105.82,106.58,104.03,104.56,1043559.0,9743
2015-06-30 04:00:00,105.71,105.79,103.22,104.13,754319.0,7246
2015-07-01 04:00:00,107.74,107.9,105.26,105.65,1305379.0,11609
2015-07-02 04:00:00,105.32,105.33,103.71,104.6,943583.0,5835
2015-07-06 04:00:00,101.09,103.11,100.95,101.92,721324.0,7778
2015-07-07 04:00:00,99.27,100.64,97.31,100.16,1286732.0,12475
2015-07-08 04:00:00,98.1,98.54,96.777,97.14,784381.0,10356
2015-07-09 04:00:00,101.75,102.12,99.1952,99.62,1683575.0,16367
2015-07-10 04:00:00,103.98,104.14,101.64,102.7,2272032.0,16095
2015-07-13 04:00:00,103.79,103.89,102.95,103.3,858960.0,7727
2015-07-14 04:00:00,103.26,103.85,102.45,103.07,1238088.0,8714
2015-07-15 04:00:00,106.09,108.17,105.75,106.68,2298683.0,15906
2015-07-16 04:00:00,104.15,104.24,99.27,100.36,4115450.0,29151
2015-07-17 04:00:00,101.0,101.09,99.41,100.55,2782530.0,14870
2015-07-20 04:00:00,102.05,102.38,100.76,101.0,1112344.0,9483
